Region,Country,FirstYear,LatestYear,FirstTemperature,LatestTemperature,AverageTemperature,TemperatureChange,WarmingTrendPerYear,VolatilityScore,HottestYear,HottestTemperature
Asia,Georgia,2000,2023,7.51,9.36,8.465,1.85,0.0753,0.9082,2010,10.11
South America,Argentina,2000,2023,13.85,15.65,14.845,1.8,0.0375,0.4826,2023,15.65
Asia,North Korea,2000,2023,6.65,8.38,7.339,1.73,0.0451,0.5384,2023,8.38
Asia,Kazakhstan,2000,2023,6.96,8.69,7.337,1.73,0.0302,0.927,2023,8.69
Asia,Turkey,2000,2023,11.16,12.88,12.005,1.72,0.0631,0.8947,2010,13.33
Asia,Uzbekistan,2000,2023,13.64,15.27,13.814,1.63,0.0361,0.8684,2023,15.27
Europe,Russia,2000,2023,-4.19,-2.59,-3.208,1.6,0.0658,0.9116,2020,-1.28
Middle East,Jordan,2000,2023,18.99,20.57,19.718,1.58,0.0626,0.7568,2010,21.29
Middle East,Israel,2000,2023,19.82,21.4,20.608,1.58,0.0511,0.663,2010,21.95
Asia,Japan,2000,2023,11.88,13.43,12.218,1.55,0.0485,0.4572,2023,13.43
Africa,Egypt,2000,2023,22.31,23.84,23.272,1.53,0.0318,0.7163,2010,24.68
Asia,Palestine,2000,2023,19.94,21.43,20.628,1.49,0.0482,0.664,2010,22.0
Europe,Ukraine,2000,2023,9.4,10.81,9.594,1.41,0.0622,0.7273,2023,10.81
Europe,Switzerland,2000,2023,5.7,7.1,5.899,1.4,0.0593,0.7997,2022,7.11
Asia,South Korea,2000,2023,12.11,13.5,12.6,1.39,0.0399,0.4494,2023,13.5
South America,Colombia,2000,2023,23.29,24.68,24.035,1.39,0.0381,0.2637,2023,24.68
South America,Venezuela,2000,2023,24.8,26.16,25.619,1.36,0.0253,0.3632,2015,26.27
Middle East,Iran,2000,2023,18.36,19.7,18.774,1.34,0.0426,0.5751,2021,19.74
South America,Guyana,2000,2023,24.77,26.04,25.352,1.27,0.0212,0.3083,2023,26.04
Asia,Afghanistan,2000,2023,12.59,13.84,12.995,1.25,0.0351,0.8533,2021,13.98
Asia,China,2000,2023,6.79,7.97,7.384,1.18,0.0326,0.3122,2023,7.97
Europe,France,2000,2023,13.51,14.68,13.688,1.17,0.0452,0.6916,2022,14.76
Europe,Portugal,2000,2023,15.14,16.3,15.476,1.16,0.0342,0.4929,2022,16.39
Asia,Myanmar,2000,2023,23.22,24.38,23.783,1.16,0.0337,0.3555,2023,24.38
Africa,Mauritius,2000,2023,22.91,24.07,23.717,1.16,0.0174,0.3284,2019,24.16
Middle East,Saudi Arabia,2000,2023,25.82,26.97,26.355,1.15,0.0512,0.4194,2021,27.17
Europe,Ireland,2000,2023,9.72,10.87,9.97,1.15,0.0185,0.455,2023,10.87
Oceania,Australia,2000,2023,21.29,22.43,22.216,1.14,0.027,0.5039,2019,23.13
Asia,Thailand,2000,2023,25.91,27.04,26.48,1.13,0.0271,0.4775,2019,27.1
Asia,Bangladesh,2000,2023,24.98,26.11,25.516,1.13,0.0248,0.3257,2023,26.11
Middle East,United Arab Emirates,2000,2023,27.87,28.97,28.415,1.1,0.0442,0.43,2021,29.09
Africa,Uganda,2000,2023,22.87,23.97,23.292,1.1,0.0336,0.3342,2016,24.08
South America,Brazil,2000,2023,24.47,25.54,25.111,1.07,0.0211,0.3292,2015,25.68
Middle East,Qatar,2000,2023,27.41,28.47,27.832,1.06,0.039,0.4037,2021,28.53
Middle East,Iraq,2000,2023,22.97,24.0,23.395,1.03,0.0477,0.7221,2010,24.62
Europe,Italy,2000,2023,13.33,14.33,13.386,1.0,0.0469,0.4334,2022,14.37
Africa,South Africa,2000,2023,17.24,18.24,18.03,1.0,0.0352,0.4717,2019,19.13
Africa,Nigeria,2000,2023,26.66,27.65,27.214,0.99,0.0186,0.3179,2010,27.75
Middle East,Yemen,2000,2023,25.63,26.6,25.909,0.97,0.0192,0.3176,2023,26.6
Asia,Vietnam,2000,2023,23.55,24.51,24.029,0.96,0.0322,0.4728,2019,24.82
Middle East,Kuwait,2000,2023,26.02,26.96,26.572,0.94,0.0497,0.5934,2021,27.7
North America,United States,2000,2023,9.44,10.35,9.826,0.91,0.0367,0.4818,2016,10.82
Asia,Indonesia,2000,2023,24.83,25.73,25.283,0.9,0.0323,0.1767,2016,25.77
North America,Mexico,2000,2023,20.79,21.68,21.009,0.89,0.0326,0.392,2023,21.68
Asia,Nepal,2000,2023,12.79,13.67,13.301,0.88,0.0213,0.3801,2016,14.05
Asia,Philippines,2000,2023,25.57,26.44,26.069,0.87,0.0287,0.2197,2016,26.52
Middle East,Oman,2000,2023,27.73,28.56,27.999,0.83,0.0233,0.3359,2023,28.56
Europe,United Kingdom,2000,2023,9.42,10.25,9.592,0.83,0.0207,0.6193,2022,10.33
Europe,Netherlands,2000,2023,10.82,11.64,10.733,0.82,0.0348,0.8109,2023,11.64
Oceania,New Zealand,2000,2023,10.39,11.2,10.602,0.81,0.0494,0.5041,2022,11.45
Europe,Germany,2000,2023,9.9,10.71,9.704,0.81,0.0478,0.8201,2023,10.71
Asia,Malaysia,2000,2023,25.29,26.09,25.67,0.8,0.0272,0.2554,2016,26.29
Asia,Sri Lanka,2000,2023,26.12,26.88,26.628,0.76,0.0146,0.2891,2016,27.21
Asia,India,2000,2023,23.94,24.44,24.293,0.5,0.0155,0.2834,2016,24.82
Asia,Pakistan,2000,2023,20.6,20.84,20.69,0.24,0.0102,0.577,2016,21.32
Europe,Denmark,2000,2023,9.37,9.52,9.129,0.15,0.0321,0.871,2014,10.14
