Region,Country,FirstYear,LatestYear,FirstTemperature,LatestTemperature,AverageTemperature,TemperatureChange,WarmingTrendPerYear,VolatilityScore,HottestYear,HottestTemperature
Middle East,United Arab Emirates,2000,2023,27.87,28.97,28.415,1.1,0.0442,0.43,2021,29.09
Middle East,Oman,2000,2023,27.73,28.56,27.999,0.83,0.0233,0.3359,2023,28.56
Middle East,Qatar,2000,2023,27.41,28.47,27.832,1.06,0.039,0.4037,2021,28.53
Africa,Nigeria,2000,2023,26.66,27.65,27.214,0.99,0.0186,0.3179,2010,27.75
Asia,Thailand,2000,2023,25.91,27.04,26.48,1.13,0.0271,0.4775,2019,27.1
Middle East,Saudi Arabia,2000,2023,25.82,26.97,26.355,1.15,0.0512,0.4194,2021,27.17
Middle East,Kuwait,2000,2023,26.02,26.96,26.572,0.94,0.0497,0.5934,2021,27.7
Asia,Sri Lanka,2000,2023,26.12,26.88,26.628,0.76,0.0146,0.2891,2016,27.21
Middle East,Yemen,2000,2023,25.63,26.6,25.909,0.97,0.0192,0.3176,2023,26.6
Asia,Philippines,2000,2023,25.57,26.44,26.069,0.87,0.0287,0.2197,2016,26.52
