Region,Country,FirstYear,LatestYear,FirstTemperature,LatestTemperature,AverageTemperature,TemperatureChange,WarmingTrendPerYear,VolatilityScore,HottestYear,HottestTemperature
North America,Canada,1980,1999,-3.2,-1.2,-2.415,2.0,0.0867,0.4527,1999,-1.2
Africa,Egypt,1980,1999,18.8,20.7,19.685,1.9,0.0847,0.4447,1999,20.7
Africa,Ethiopia,1980,1999,17.1,19.0,17.985,1.9,0.0847,0.4447,1999,19.0
Africa,Ghana,1980,1999,25.5,27.4,26.385,1.9,0.0847,0.4447,1999,27.4
Africa,Kenya,1980,1999,18.3,20.2,19.185,1.9,0.0847,0.4447,1999,20.2
Africa,Morocco,1980,1999,16.0,17.9,16.885,1.9,0.0847,0.4447,1999,17.9
Africa,Nigeria,1980,1999,25.3,27.2,26.185,1.9,0.0847,0.4447,1999,27.2
Africa,South Africa,1980,1999,14.6,16.5,15.485,1.9,0.0847,0.4447,1999,16.5
Africa,Sudan,1980,1999,24.1,26.0,24.985,1.9,0.0847,0.4447,1999,26.0
Africa,Tanzania,1980,1999,20.1,22.0,20.985,1.9,0.0847,0.4447,1999,22.0
Africa,Uganda,1980,1999,19.6,21.5,20.485,1.9,0.0847,0.4447,1999,21.5
Asia,China,1980,1999,6.5,8.4,7.385,1.9,0.0847,0.4447,1999,8.4
Asia,India,1980,1999,21.1,23.0,21.985,1.9,0.0847,0.4447,1999,23.0
Asia,Indonesia,1980,1999,24.4,26.3,25.285,1.9,0.0847,0.4447,1999,26.3
Asia,Japan,1980,1999,10.2,12.1,11.085,1.9,0.0847,0.4447,1999,12.1
Asia,Malaysia,1980,1999,25.1,27.0,25.985,1.9,0.0847,0.4447,1999,27.0
Asia,Pakistan,1980,1999,18.8,20.7,19.685,1.9,0.0847,0.4447,1999,20.7
Asia,Philippines,1980,1999,25.6,27.5,26.485,1.9,0.0847,0.4447,1999,27.5
Asia,South Korea,1980,1999,9.5,11.4,10.385,1.9,0.0847,0.4447,1999,11.4
Asia,Thailand,1980,1999,24.8,26.7,25.685,1.9,0.0847,0.4447,1999,26.7
Asia,Vietnam,1980,1999,22.3,24.2,23.185,1.9,0.0847,0.4447,1999,24.2
Middle East,Iran,1980,1999,15.1,17.0,15.985,1.9,0.0847,0.4447,1999,17.0
Middle East,Iraq,1980,1999,18.6,20.5,19.485,1.9,0.0847,0.4447,1999,20.5
Middle East,Saudi Arabia,1980,1999,22.3,24.2,23.185,1.9,0.0847,0.4447,1999,24.2
Middle East,Turkey,1980,1999,10.3,12.2,11.185,1.9,0.0847,0.4447,1999,12.2
North America,Mexico,1980,1999,16.5,18.4,17.385,1.9,0.0847,0.4447,1999,18.4
Oceania,New Zealand,1980,1999,10.6,12.5,11.485,1.9,0.0847,0.4447,1999,12.5
South America,Brazil,1980,1999,23.5,25.4,24.385,1.9,0.0847,0.4447,1999,25.4
South America,Colombia,1980,1999,20.3,22.2,21.185,1.9,0.0847,0.4447,1999,22.2
South America,Peru,1980,1999,17.3,19.2,18.185,1.9,0.0847,0.4447,1999,19.2
South America,Venezuela,1980,1999,22.9,24.8,23.785,1.9,0.0847,0.4447,1999,24.8
North America,United States,1980,1999,7.2,9.1,8.09,1.9,0.0838,0.457,1999,9.1
Europe,Russia,1980,1999,-4.8,-2.9,-4.035,1.9,0.0795,0.4372,1999,-2.9
Europe,Norway,1980,1999,-0.1,1.7,0.65,1.8,0.0749,0.5212,1999,1.7
Europe,Sweden,1980,1999,1.5,3.3,2.245,1.8,0.0721,0.5482,1999,3.3
Europe,Switzerland,1980,1999,4.5,6.3,5.27,1.8,0.0696,0.6578,1999,6.3
Oceania,Australia,1980,1999,20.1,21.8,20.99,1.7,0.094,0.5184,1998,22.4
Asia,Afghanistan,1980,1999,11.2,12.9,11.95,1.7,0.0732,0.4267,1999,12.9
South America,Argentina,1980,1999,13.1,14.8,13.85,1.7,0.0732,0.4267,1999,14.8
Europe,Romania,1980,1999,7.2,8.9,7.92,1.7,0.0726,0.4965,1999,8.9
Europe,Portugal,1980,1999,13.2,14.9,13.92,1.7,0.0675,0.5646,1999,14.9
Europe,United Kingdom,1980,1999,7.2,8.9,7.91,1.7,0.0675,0.5587,1999,8.9
Europe,Ukraine,1980,1999,5.8,7.5,6.475,1.7,0.0656,0.4783,1999,7.5
Europe,Spain,1980,1999,12.0,13.7,12.71,1.7,0.0654,0.5724,1999,13.7
Europe,Germany,1980,1999,7.6,9.2,8.245,1.6,0.0619,0.5718,1999,9.2
Europe,Poland,1980,1999,5.9,7.4,6.515,1.5,0.059,0.5298,1999,7.4
Europe,Netherlands,1980,1999,8.1,9.6,8.72,1.5,0.058,0.5483,1999,9.6
Europe,Italy,1980,1999,10.8,12.3,11.42,1.5,0.0579,0.5266,1999,12.3
Europe,France,1980,1999,9.5,10.9,10.045,1.4,0.0539,0.4736,1999,10.9
