state,mean,min,max,std
Andhra Pradesh,1103333.3333333333,430000,2000000,808475.9324391377
Assam,311666.6666666667,130000,590000,244761.78895680048
Bihar,370000.0,150000,720000,306431.06892089127
Chhattisgarh,476666.6666666667,140000,990000,451700.4907384243
Delhi,936666.6666666666,620000,1400000,410162.56939576205
Goa,88333.33333333333,42000,170000,70938.94088110798
Gujarat,436666.6666666667,240000,820000,332014.0559273558
Haryana,416666.6666666667,220000,770000,306648.550189518
Himachal Pradesh,104000.0,55000,200000,83144.45261110329
Jharkhand,186666.66666666666,90000,350000,142243.9219556791
Karnataka,1593333.3333333333,900000,2900000,1132313.266429981
Kerala,1666666.6666666667,700000,2800000,1059874.2063723097
Madhya Pradesh,413333.3333333333,200000,790000,327159.49219506583
Maharashtra,4033333.3333333335,1900000,6400000,2259055.84998099
Manipur,55666.666666666664,28000,110000,47056.70338361298
Meghalaya,36000.0,14000,76000,34698.70314579494
Odisha,513333.3333333333,230000,980000,407226.3907623539
Punjab,316666.6666666667,170000,600000,245424.80178933288
Rajasthan,516666.6666666667,290000,950000,375410.886008029
Tamil Nadu,1383333.3333333333,800000,2500000,967384.7907287633
Telangana,380000.0,180000,670000,257099.2026436488
Tripura,44666.666666666664,19000,82000,33080.709383768255
Uttar Pradesh,933333.3333333334,510000,1700000,665156.6231597889
Uttarakhand,171666.66666666666,80000,340000,145973.74193098338
West Bengal,883333.3333333334,560000,1500000,534259.6122984905
