state,mean,min,max,std
Andhra Pradesh,7700.0,2100,14000,5980.802621722271
Assam,2533.3333333333335,700,5800,2836.077102854105
Bihar,3900.0,700,9600,4948.737212663449
Chhattisgarh,5966.666666666667,700,13500,6694.276162015825
Delhi,12966.666666666666,3900,25000,10858.330135584078
Goa,1416.6666666666667,380,3100,1470.7934366638074
Gujarat,5300.0,1500,10000,4320.879540093661
Haryana,4533.333333333333,1200,9500,4384.442191811101
Himachal Pradesh,1636.6666666666667,420,3500,1638.6681583936795
Jharkhand,2266.6666666666665,600,5100,2466.4414311581236
Karnataka,18166.666666666668,5500,37000,16630.79472945696
Kerala,8666.666666666666,3000,16000,6658.328118479393
Madhya Pradesh,4966.666666666667,1100,10000,4563.259069276402
Maharashtra,68333.33333333333,18000,138000,62292.32162420448
Manipur,873.3333333333334,350,1900,889.1756481895651
Meghalaya,623.3333333333334,150,1500,760.0219295081777
Odisha,3633.3333333333335,900,8100,3900.4273270160197
Punjab,7766.666666666667,2100,16000,7296.802952891994
Rajasthan,4533.333333333333,1800,9000,3900.4273270160197
Tamil Nadu,16400.0,4200,33000,14895.636945092345
Telangana,2066.6666666666665,800,3800,1553.4906930308057
Tripura,463.3333333333333,180,820,326.2412195497886
Uttar Pradesh,11233.333333333334,3200,22000,9693.468591445137
Uttarakhand,3183.3333333333335,550,7300,3611.2094003717552
West Bengal,10366.666666666666,3100,18000,7456.76426698158
