state,mean,min,max,std
Andhra Pradesh,53000000.0,53000000,53000000,0.0
Assam,35000000.0,35000000,35000000,0.0
Bihar,124000000.0,124000000,124000000,0.0
Chhattisgarh,29000000.0,29000000,29000000,0.0
Delhi,20000000.0,20000000,20000000,0.0
Goa,1500000.0,1500000,1500000,0.0
Gujarat,63000000.0,63000000,63000000,0.0
Haryana,28000000.0,28000000,28000000,0.0
Himachal Pradesh,7000000.0,7000000,7000000,0.0
Jharkhand,38000000.0,38000000,38000000,0.0
Karnataka,67000000.0,67000000,67000000,0.0
Kerala,35000000.0,35000000,35000000,0.0
Madhya Pradesh,85000000.0,85000000,85000000,0.0
Maharashtra,112000000.0,112000000,112000000,0.0
Manipur,3000000.0,3000000,3000000,0.0
Meghalaya,3200000.0,3200000,3200000,0.0
Odisha,46000000.0,46000000,46000000,0.0
Punjab,27000000.0,27000000,27000000,0.0
Rajasthan,80000000.0,80000000,80000000,0.0
Tamil Nadu,72000000.0,72000000,72000000,0.0
Telangana,38000000.0,38000000,38000000,0.0
Tripura,3700000.0,3700000,3700000,0.0
Uttar Pradesh,230000000.0,230000000,230000000,0.0
Uttarakhand,11000000.0,11000000,11000000,0.0
West Bengal,91000000.0,91000000,91000000,0.0
