state,mean,min,max,std
Andhra Pradesh,1083000.0,429000,1960000,789485.2753535053
Assam,308333.3333333333,129000,583000,241547.7868524846
Bihar,365000.0,149000,709000,301144.48359549936
Chhattisgarh,469666.6666666667,139000,975000,444528.2143276547
Delhi,919333.3333333334,600000,1370000,401449.0420132216
Goa,86333.33333333333,41000,166000,69212.23398600375
Gujarat,428000.0,230000,805000,326629.7598198915
Haryana,410666.6666666667,219000,758000,301337.5737164772
Himachal Pradesh,102000.0,54000,196000,81412.52974819049
Jharkhand,183333.33333333334,89000,343000,139033.56908794845
Karnataka,1565666.6666666667,880000,2840000,1104670.2373710144
Kerala,1641666.6666666667,680000,2750000,1042764.7545507727
Madhya Pradesh,407000.0,199000,778000,322082.28762227827
Maharashtra,3930000.0,1800000,6200000,2203338.3761919094
Manipur,54500.0,27000,108000,46338.42897639064
Meghalaya,34933.333333333336,13800,74000,33870.53783649344
Odisha,508666.6666666667,229000,970000,402519.97880022466
Punjab,308666.6666666667,165000,582000,236817.08834738538
Rajasthan,509666.6666666667,289000,935000,368436.3355226155
Tamil Nadu,1359333.3333333333,780000,2450000,945156.7771186605
Telangana,377000.0,179000,665000,255194.04381764086
Tripura,43833.333333333336,18000,81000,32993.68626469818
Uttar Pradesh,914333.3333333334,508000,1660000,646634.6211991231
Uttarakhand,168000.0,79000,332000,142200.56258679146
West Bengal,866000.0,540000,1470000,523629.64010834985
