state,mean,min,max,std
Andhra Pradesh,23333333.333333332,0,48000000,24027761.721253466
Assam,14000000.0,0,28000000,14000000.0
Bihar,43333333.333333336,0,90000000,45092497.528228946
Chhattisgarh,12000000.0,0,25000000,12529964.086141668
Delhi,10000000.0,0,18000000,9165151.38991168
Goa,766666.6666666666,0,1400000,709459.8884597587
Gujarat,28333333.333333332,0,57000000,28501461.950807597
Haryana,12333333.333333334,0,25000000,12503332.889007369
Himachal Pradesh,3500000.0,0,6500000,3278719.2621510006
Jharkhand,14666666.666666666,0,30000000,15011106.99893027
Karnataka,29333333.333333332,0,60000000,30022213.99786054
Kerala,17000000.0,0,33000000,16522711.641858306
Madhya Pradesh,34333333.333333336,0,70000000,35019042.43884081
Maharashtra,46666666.666666664,0,95000000,47521924.76461084
Manipur,1266666.6666666667,0,2600000,1301281.4197295425
Meghalaya,1300000.0,0,2800000,1410673.5979665883
Odisha,20000000.0,0,41000000,20518284.52868319
Punjab,11666666.666666666,0,24000000,12013880.860626733
Rajasthan,33333333.333333332,0,68000000,34019602.192461535
Tamil Nadu,31666666.666666668,0,65000000,32532035.49323856
Telangana,16666666.666666666,0,34000000,17009801.096230768
Tripura,1566666.6666666667,0,3300000,1656301.099840646
Uttar Pradesh,55000000.0,0,110000000,55000000.0
Uttarakhand,4833333.333333333,0,9500000,4752192.476461085
West Bengal,35666666.666666664,0,72000000,36004629.33198082
