state,year,cases,deaths,recoveries,population,vaccinated
Uttar Pradesh,2020,590000,8500,575000,230000000,0
Uttar Pradesh,2021,1700000,22000,1660000,230000000,55000000
Uttar Pradesh,2022,510000,3200,508000,230000000,110000000
Bihar,2020,240000,1400,237000,124000000,0
Bihar,2021,720000,9600,709000,124000000,40000000
Bihar,2022,150000,700,149000,124000000,90000000
Maharashtra,2020,1900000,49000,1800000,112000000,0
Maharashtra,2021,6400000,138000,6200000,112000000,45000000
Maharashtra,2022,3800000,18000,3790000,112000000,95000000
West Bengal,2020,560000,10000,540000,91000000,0
