state,year,cases,deaths,recoveries,population,vaccinated
Uttar Pradesh,2022,510000,3200,508000,230000000,110000000
Maharashtra,2022,3800000,18000,3790000,112000000,95000000
Bihar,2022,150000,700,149000,124000000,90000000
West Bengal,2022,590000,3100,588000,91000000,72000000
Madhya Pradesh,2022,200000,1100,199000,85000000,70000000
Rajasthan,2022,290000,1800,289000,80000000,68000000
Tamil Nadu,2022,850000,4200,848000,72000000,65000000
Karnataka,2022,980000,5500,977000,67000000,60000000
Gujarat,2022,250000,1500,249000,63000000,57000000
Uttar Pradesh,2021,1700000,22000,1660000,230000000,55000000
