state,year,cases,deaths,recoveries,population,vaccinated
Maharashtra,2022,3800000,18000,3790000,112000000,95000000
Kerala,2022,1500000,7000,1495000,35000000,33000000
Karnataka,2022,980000,5500,977000,67000000,60000000
Tamil Nadu,2022,850000,4200,848000,72000000,65000000
Andhra Pradesh,2022,430000,2100,429000,53000000,48000000
Delhi,2022,790000,3900,788000,20000000,18000000
Uttar Pradesh,2022,510000,3200,508000,230000000,110000000
West Bengal,2022,590000,3100,588000,91000000,72000000
Rajasthan,2022,290000,1800,289000,80000000,68000000
Gujarat,2022,250000,1500,249000,63000000,57000000
