Country,Region,Year,AvgTemperature
Afghanistan,Asia,2000,12.59°C
Afghanistan,Asia,2001,13.41°C
Afghanistan,Asia,2002,13.05°C
Afghanistan,Asia,2003,12.49°C
Afghanistan,Asia,2004,13.23°C
Afghanistan,Asia,2005,11.97°C
Afghanistan,Asia,2006,13.43°C
Afghanistan,Asia,2007,12.56°C
Afghanistan,Asia,2008,12.71°C
Afghanistan,Asia,2009,12.35°C
Afghanistan,Asia,2010,13.42°C
Afghanistan,Asia,2011,13.0°C
Afghanistan,Asia,2012,11.63°C
Afghanistan,Asia,2013,12.84°C
Afghanistan,Asia,2014,12.3°C
Afghanistan,Asia,2015,12.98°C
Afghanistan,Asia,2016,13.77°C
Afghanistan,Asia,2017,13.53°C
Afghanistan,Asia,2018,13.74°C
Afghanistan,Asia,2019,12.96°C
Afghanistan,Asia,2020,12.36°C
Afghanistan,Asia,2021,13.98°C
Afghanistan,Asia,2022,13.75°C
Afghanistan,Asia,2023,13.84°C
Argentina,South America,2000,13.85°C
Argentina,South America,2001,14.55°C
Argentina,South America,2002,14.35°C
Argentina,South America,2003,14.86°C
Argentina,South America,2004,14.82°C
Argentina,South America,2005,14.47°C
Argentina,South America,2006,15.05°C
Argentina,South America,2007,14.09°C
Argentina,South America,2008,14.99°C
Argentina,South America,2009,15.08°C
Argentina,South America,2010,14.49°C
Argentina,South America,2011,14.76°C
Argentina,South America,2012,15.19°C
Argentina,South America,2013,15.06°C
Argentina,South America,2014,14.98°C
Argentina,South America,2015,15.12°C
Argentina,South America,2016,14.62°C
Argentina,South America,2017,15.13°C
Argentina,South America,2018,14.94°C
Argentina,South America,2019,15.0°C
Argentina,South America,2020,15.25°C
Argentina,South America,2021,15.23°C
Argentina,South America,2022,14.76°C
Argentina,South America,2023,15.65°C
Australia,Oceania,2000,21.29°C
Australia,Oceania,2001,21.46°C
Australia,Oceania,2002,22.31°C
Australia,Oceania,2003,22.22°C
Australia,Oceania,2004,22.08°C
Australia,Oceania,2005,22.73°C
Australia,Oceania,2006,22.05°C
Australia,Oceania,2007,22.27°C
Australia,Oceania,2008,22.01°C
Australia,Oceania,2009,22.49°C
Australia,Oceania,2010,21.75°C
Australia,Oceania,2011,21.35°C
Australia,Oceania,2012,21.74°C
Australia,Oceania,2013,22.9°C
Australia,Oceania,2014,22.59°C
Australia,Oceania,2015,22.51°C
Australia,Oceania,2016,22.4°C
Australia,Oceania,2017,22.47°C
Australia,Oceania,2018,22.6°C
Australia,Oceania,2019,23.13°C
Australia,Oceania,2020,22.58°C
Australia,Oceania,2021,21.96°C
Australia,Oceania,2022,21.87°C
Australia,Oceania,2023,22.43°C
Bangladesh,Asia,2000,24.98°C
Bangladesh,Asia,2001,25.19°C
Bangladesh,Asia,2002,25.2°C
Bangladesh,Asia,2003,25.18°C
Bangladesh,Asia,2004,25.29°C
Bangladesh,Asia,2005,25.62°C
Bangladesh,Asia,2006,25.79°C
Bangladesh,Asia,2007,25.27°C
Bangladesh,Asia,2008,25.42°C
Bangladesh,Asia,2009,25.95°C
Bangladesh,Asia,2010,26.0°C
Bangladesh,Asia,2011,25.24°C
Bangladesh,Asia,2012,25.33°C
Bangladesh,Asia,2013,25.3°C
Bangladesh,Asia,2014,25.45°C
Bangladesh,Asia,2015,25.45°C
Bangladesh,Asia,2016,25.91°C
Bangladesh,Asia,2017,25.57°C
Bangladesh,Asia,2018,25.34°C
Bangladesh,Asia,2019,25.77°C
Bangladesh,Asia,2020,25.39°C
Bangladesh,Asia,2021,25.84°C
Bangladesh,Asia,2022,25.8°C
Bangladesh,Asia,2023,26.11°C
Brazil,South America,2000,24.47°C
Brazil,South America,2001,24.79°C
Brazil,South America,2002,25.19°C
