Country,Region,Year,AvgTemperature
Afghanistan,Asia,2000,12.5
Afghanistan,Asia,2001,13.1
Afghanistan,Asia,2002,12.8
Afghanistan,Asia,2003,13.4
Afghanistan,Asia,2004,12.9
Afghanistan,Asia,2005,13.2
Afghanistan,Asia,2006,13.6
Afghanistan,Asia,2007,13.1
Afghanistan,Asia,2008,12.7
Afghanistan,Asia,2009,13.3
Afghanistan,Asia,2010,13.8
Afghanistan,Asia,2011,13.0
Afghanistan,Asia,2012,13.5
Afghanistan,Asia,2013,13.9
Afghanistan,Asia,2014,13.2
Afghanistan,Asia,2015,14.1
Afghanistan,Asia,2016,13.7
Afghanistan,Asia,2017,14.3
Afghanistan,Asia,2018,13.9
Afghanistan,Asia,2019,14.5
Argentina,South America,2000,14.2
Argentina,South America,2001,14.5
Argentina,South America,2002,14.1
Argentina,South America,2003,14.8
Argentina,South America,2004,14.3
Argentina,South America,2005,14.6
Argentina,South America,2006,15.0
Argentina,South America,2007,14.7
Argentina,South America,2008,14.4
Argentina,South America,2009,14.9
Argentina,South America,2010,15.2
Argentina,South America,2011,14.8
Argentina,South America,2012,15.1
Argentina,South America,2013,15.4
Argentina,South America,2014,14.9
Argentina,South America,2015,15.6
Argentina,South America,2016,15.2
Argentina,South America,2017,15.8
Argentina,South America,2018,15.4
Argentina,South America,2019,16.0
Australia,Oceania,2000,21.3
Australia,Oceania,2001,21.6
Australia,Oceania,2002,22.1
Australia,Oceania,2003,21.8
Australia,Oceania,2004,21.5
Australia,Oceania,2005,21.9
Australia,Oceania,2006,22.3
Australia,Oceania,2007,21.7
Australia,Oceania,2008,21.4
Australia,Oceania,2009,22.0
Australia,Oceania,2010,21.6
Australia,Oceania,2011,21.2
Australia,Oceania,2012,22.4
Australia,Oceania,2013,22.8
Australia,Oceania,2014,22.5
Australia,Oceania,2015,23.1
Australia,Oceania,2016,22.7
Australia,Oceania,2017,23.3
Australia,Oceania,2018,23.6
Australia,Oceania,2019,24.0
Brazil,South America,2000,24.8
Brazil,South America,2001,25.1
Brazil,South America,2002,24.9
Brazil,South America,2003,25.3
Brazil,South America,2004,25.0
Brazil,South America,2005,25.4
Brazil,South America,2006,25.7
Brazil,South America,2007,25.2
Brazil,South America,2008,25.0
Brazil,South America,2009,25.5
Brazil,South America,2010,25.9
Brazil,South America,2011,25.4
Brazil,South America,2012,25.8
Brazil,South America,2013,26.1
Brazil,South America,2014,25.7
Brazil,South America,2015,26.4
Brazil,South America,2016,26.0
Brazil,South America,2017,26.5
Brazil,South America,2018,26.2
Brazil,South America,2019,26.8
Canada,North America,2000,-2.1
Canada,North America,2001,-1.8
Canada,North America,2002,-1.5
Canada,North America,2003,-2.0
Canada,North America,2004,-1.9
Canada,North America,2005,-1.6
Canada,North America,2006,-1.3
Canada,North America,2007,-1.7
Canada,North America,2008,-2.1
Canada,North America,2009,-1.5
Canada,North America,2010,-1.1
Canada,North America,2011,-1.8
Canada,North America,2012,-1.2
Canada,North America,2013,-0.9
Canada,North America,2014,-1.4
Canada,North America,2015,-0.7
Canada,North America,2016,-0.3
Canada,North America,2017,-0.8
Canada,North America,2018,-0.5
Canada,North America,2019,-0.1
China,Asia,2000,7.8
China,Asia,2001,8.1
China,Asia,2002,7.9
China,Asia,2003,8.3
China,Asia,2004,8.0
China,Asia,2005,8.4
China,Asia,2006,8.7
China,Asia,2007,8.2
China,Asia,2008,7.9
China,Asia,2009,8.5
China,Asia,2010,8.9
China,Asia,2011,8.3
China,Asia,2012,8.7
China,Asia,2013,9.0
China,Asia,2014,8.6
China,Asia,2015,9.2
China,Asia,2016,8.8
China,Asia,2017,9.4
China,Asia,2018,9.1
China,Asia,2019,9.6
Colombia,South America,2000,21.5
Colombia,South America,2001,21.8
Colombia,South America,2002,21.6
Colombia,South America,2003,22.0
Colombia,South America,2004,21.7
Colombia,South America,2005,22.1
Colombia,South America,2006,22.4
Colombia,South America,2007,21.9
Colombia,South America,2008,21.6
Colombia,South America,2009,22.2
Colombia,South America,2010,22.6
Colombia,South America,2011,22.1
Colombia,South America,2012,22.5
Colombia,South America,2013,22.8
Colombia,South America,2014,22.3
Colombia,South America,2015,23.0
Colombia,South America,2016,22.7
Colombia,South America,2017,23.2
Colombia,South America,2018,22.9
Colombia,South America,2019,23.5
Egypt,Africa,2000,20.1
Egypt,Africa,2001,20.4
Egypt,Africa,2002,20.2
Egypt,Africa,2003,20.7
Egypt,Africa,2004,20.3
Egypt,Africa,2005,20.8
Egypt,Africa,2006,21.1
Egypt,Africa,2007,20.6
Egypt,Africa,2008,20.4
Egypt,Africa,2009,20.9
Egypt,Africa,2010,21.3
Egypt,Africa,2011,20.8
Egypt,Africa,2012,21.2
Egypt,Africa,2013,21.5
Egypt,Africa,2014,21.0
Egypt,Africa,2015,21.7
Egypt,Africa,2016,21.3
Egypt,Africa,2017,21.9
Egypt,Africa,2018,21.5
Egypt,Africa,2019,22.1
Ethiopia,Africa,2000,18.3
Ethiopia,Africa,2001,18.6
Ethiopia,Africa,2002,18.4
Ethiopia,Africa,2003,18.9
Ethiopia,Africa,2004,18.5
Ethiopia,Africa,2005,19.0
Ethiopia,Africa,2006,19.3
Ethiopia,Africa,2007,18.8
Ethiopia,Africa,2008,18.6
Ethiopia,Africa,2009,19.1
Ethiopia,Africa,2010,19.5
Ethiopia,Africa,2011,19.0
Ethiopia,Africa,2012,19.4
Ethiopia,Africa,2013,19.7
Ethiopia,Africa,2014,19.2
Ethiopia,Africa,2015,19.9
Ethiopia,Africa,2016,19.5
Ethiopia,Africa,2017,20.1
Ethiopia,Africa,2018,19.7
Ethiopia,Africa,2019,20.3
France,Europe,2000,10.8
France,Europe,2001,11.1
France,Europe,2002,10.9
France,Europe,2003,11.8
France,Europe,2004,10.6
France,Europe,2005,10.9
France,Europe,2006,11.3
France,Europe,2007,11.0
France,Europe,2008,10.7
France,Europe,2009,11.2
France,Europe,2010,10.5
France,Europe,2011,11.4
France,Europe,2012,11.0
